,exposure,fwhmX,fwhmY,overallFwhm,airmass,filter_band,dimm_seeing,corr_fwhm
0,135,1.4322130950380465,1.480916349868723,1.4563564952811545,1.550098548239975,r,1.01923632621765,1.1699187997592135
1,136,1.3600242368302142,1.4430888080268607,1.4006822013138118,1.550135729895925,r,1.22451949119568,1.1251783898014895
2,137,1.2738275089999382,1.3247738253040673,1.298890826354105,1.550173448204595,r,1.22451949119568,1.0433933913376197
3,138,1.337126110779378,1.393242962843483,1.3590638725479967,1.55021315652236,r,0.992372870445251,1.0917133607572929
4,139,1.3199259258275189,1.3478443843414236,1.333697251105375,1.5502545583910452,r,0.992372870445251,1.0713196093902615
5,140,1.4174742492762507,1.4993116461600515,1.4562847770914404,1.550298234776145,r,1.01687729358673,1.1697707742971366
6,141,1.3941697057174418,1.4536566252034888,1.4235040488289485,1.55034390305953,r,1.01687729358673,1.1434192192029222
7,142,1.409937914466512,1.446994643019076,1.4281317799254252,1.55039156582286,r,1.0278548002243,1.1471152508018458
8,143,1.681226966029623,1.6591978781206578,1.6693937019475602,1.550440908742285,r,1.10254156589508,1.3408779462814358
9,144,1.4409368459625476,1.5660012164074488,1.5020285066366026,1.550492505633535,r,1.10254156589508,1.2064240346997457
10,145,1.4208035155565664,1.535809288599843,1.4771752097484359,1.55054613668246,r,1.18310916423798,1.1864373307774863
