,exposures,azimuth,elevation,delta_ra,delta_dec,delta_radec,pointing_distance_radec,delta_az,delta_el,delta_azel,delta_x [pixels],delta_y [pixels],delta_xy [pixels]
0,2022050500291,359.05644763649116,29.61247679857756,-2.1822015371412817,-1.4878102476231447,2.641132878450877,2.401941497994892,-2.2000683404485244,1.45326380945221,2.6367169742897083,-2.645981369013446,-0.2827905344962592,2.6610501482623263
1,2022050500293,15.158964011415973,48.17464290343607,0.41079712395912793,-0.2752863952665052,0.4945067001284388,0.4887952443140926,0.6840337101415628,0.17575171119403876,0.7062512163512813,-5.200326025567254,-0.16623527384401648,5.202982311949763
2,2022050500295,20.65170889663706,72.18497076437963,0.5628947821264774,0.6260866044677016,0.841923376584301,0.8318606905719845,1.0627222314823825,-0.7657650576106789,1.309875820352594,-5.853166246893437,-0.559157628493893,5.879813973866479
3,2022050500297,22.06072058741951,34.071047433818954,0.04764951405604734,0.35177074320955626,0.35498328406839247,0.35451435128824965,-0.09885571682843874,-0.3449615339235379,0.35884664222553997,-5.1466131875508525,-0.9545007979876188,5.234376665433177
4,2022050500299,33.45788058625559,44.24111690328206,-1.4459412658311521,0.3546055181779195,1.488788506724721,1.4690986329359434,-1.982233010744494,0.3768071016935437,2.0177292436726666,-3.7391632655715266,-1.3346730536879248,3.9702259490915845
5,2022050500301,44.67614493670787,24.868846607606038,-7.32180515727805,6.205669514143608,9.597872935182815,9.254411209929554,-10.196077520743074,-0.28788457568538206,10.200140897944488,3.269333352540168,-4.7281218974863375,5.748363005893185
6,2022050500303,45.07648017471727,53.7904289515743,-0.46283344885296174,2.720501211913806,2.75959084746301,2.759515762079569,-3.436656494818635,-1.8693754677343577,3.912182575333896,-5.308770588087217,-3.3665945875811243,6.28625518683981
7,2022050500305,44.95954791052849,83.03420532727726,3.2863789330576765,-1.7723052292694774,3.733812035620064,3.463694949146734,27.981575149405558,-0.6947490902064146,27.990198715624963,-6.219566204418933,2.628536763699986,6.752200329468352
8,2022050500307,55.87743495847735,35.730455435897326,-3.550586327912697,-0.24638269032983828,3.55912456961747,3.5408679636751694,-2.8078676766085664,2.710008696143973,3.9023413513580723,-1.5975829841552789,0.2713168241075786,1.620458024851711
9,2022050500309,67.2410021842263,33.572338777299855,-3.717023966623856,-0.15655135956327837,3.7203192734814112,3.7203113099272196,-2.5463463295920974,3.056351951940428,3.9780858316981056,-1.5720125081723233,0.7654405061081155,1.7484628947281915
10,2022050500311,66.20992054415811,69.67986718881124,-1.2708086320344592,-4.315006068206628,4.498247653021488,4.476272731534862,8.64593667781719,3.3205017202135423,9.261638770259054,-2.992400129278184,3.3665790061959973,4.504254959331645
11,2022050500313,74.87221497725463,57.33456555154116,0.7684880776537284,-1.3317369672947166,1.5375621208768289,1.5201456244949096,2.816654693572218,0.004256456281837018,2.8166579096941264,-5.84706404751749,0.6557921916179421,5.883725127362654
12,2022050500315,78.66294697831992,39.958961978101634,-0.35001296115524383,-1.5434178497301332,1.5826078894793398,1.5811923347125443,1.5126089237469387,1.0752580727881877,1.8558463512088061,-5.228224423086694,0.9458440324174466,5.313092465958021
13,2022050500317,89.63096298963926,25.452120420132655,-0.5127592254666524,-2.531797729149332,2.583199907987548,2.5809652472500866,2.2202376607936003,1.6256480650582716,2.75176069123642,-6.140969117543911,1.7044815601784713,6.373127889162156
14,2022050500319,101.10498646752153,48.06201147645446,-2.3968140830902485,-3.6059800049756063,4.329874079599039,4.171592899684445,4.470271965050188,2.9116920978992766,5.334911650110315,-4.864356147939802,3.546344218873562,6.019843690058544
